area_sqft,bedrooms,bathrooms,living_area_sqft,kitchen_area_sqft,dining_area_sqft,garage_area_sqft,balcony_area_sqft,floors,age_years,location,property_type,price_usd
3831,1,3,1904,434,235,217,273,1,7,Houston,Penthouse,1762260
3476,4,5,1489,293,232,380,194,4,33,Denver,Townhouse,1345212
4908,2,3,1838,506,416,796,214,3,36,Boston,House,804912
7710,7,3,3253,505,640,345,105,2,2,Houston,Townhouse,1811850
5397,7,2,2311,355,370,390,206,1,9,New York,Villa,2655324
5112,7,2,2720,558,327,183,8,2,18,New York,Penthouse,2141928
6084,4,5,3005,351,538,219,126,1,16,New York,Villa,2829060
1490,8,2,620,115,146,336,6,4,15,Dallas,Penthouse,807580
5759,8,1,2276,340,559,328,131,1,50,Phoenix,House,1750736
3973,2,2,1633,279,396,438,165,3,44,Denver,Townhouse,1493848
6293,4,4,2552,740,607,629,134,3,38,Boston,Villa,943950
5597,4,3,3005,474,289,131,125,3,10,Los Angeles,Townhouse,1360071
4960,2,5,2288,513,413,719,293,4,15,Denver,Apartment,1364000
1893,8,5,1037,189,119,512,228,4,22,Boston,House,293415
931,6,1,438,67,72,514,264,2,0,Dallas,Villa,222509
1062,3,3,572,86,99,168,298,4,42,Miami,Villa,622332
1934,7,3,837,212,159,192,26,2,10,Houston,Apartment,713646
3897,4,4,1728,368,245,22,46,3,42,Los Angeles,Penthouse,2400552
3706,2,5,1733,430,355,792,105,4,2,Boston,Villa,2264366
4997,3,6,2479,472,372,660,299,3,37,Phoenix,Apartment,2478512
6698,1,1,3466,459,506,736,32,2,36,Seattle,Penthouse,2237132
1756,8,5,778,177,138,227,62,3,2,Boston,House,763860
7417,8,2,3452,658,571,738,218,2,1,Phoenix,Townhouse,4249941
6333,3,4,3392,433,378,616,157,3,2,Seattle,Apartment,2229216
4317,5,6,1727,319,259,671,139,1,12,Houston,Villa,1394391
7046,5,3,2471,755,689,279,300,3,21,Seattle,Apartment,3410264
3446,1,1,1598,386,269,762,232,1,41,New York,Villa,816702
1252,5,2,599,136,107,799,79,3,3,New York,Penthouse,803784
565,4,4,235,57,28,354,282,2,29,Phoenix,Apartment,187580
2971,3,4,1216,348,166,761,3,1,26,Seattle,House,1527094
1992,7,6,795,221,164,289,131,1,47,Phoenix,Apartment,844608
6307,2,1,3157,473,586,716,56,1,39,Dallas,Penthouse,2535414
4599,5,4,2180,304,450,243,172,4,20,Phoenix,Townhouse,1260126
5338,6,2,2061,514,491,156,124,2,47,Miami,Villa,1766878
4414,5,5,2217,509,383,234,157,1,39,Seattle,Penthouse,2021612
1301,4,3,638,70,110,61,273,4,13,Miami,Townhouse,732463
1559,6,1,722,126,89,606,1,3,21,Dallas,Penthouse,687519
1407,1,1,637,157,127,594,101,3,13,New York,Penthouse,523404
5980,4,6,2253,347,449,59,171,2,11,Boston,Penthouse,3294980
2863,5,4,1346,222,285,189,100,4,29,Houston,Villa,678531
3484,7,1,1361,192,314,102,162,4,48,Houston,House,1627028
5426,2,6,2141,541,338,697,140,1,5,Denver,Penthouse,2913762
6802,1,5,3605,476,582,245,163,1,31,New York,House,1802530
835,6,3,447,74,49,182,71,1,4,Denver,Apartment,142785
7298,8,2,2776,678,471,52,97,1,0,Phoenix,Townhouse,2189400
4225,1,2,2301,420,368,561,300,1,45,Denver,House,971750
5335,4,4,2178,450,490,270,196,1,7,Houston,House,1488465
3800,2,5,1386,263,369,768,78,2,29,New York,House,1603600
1136,5,5,467,116,85,552,59,3,40,Dallas,Villa,393056
2694,7,5,1099,165,136,653,95,4,11,Dallas,Townhouse,420264
1478,4,3,646,95,95,274,34,2,6,Chicago,Apartment,697616
716,2,3,281,47,40,683,184,2,13,Denver,Penthouse,99524
3714,8,3,1519,401,297,352,81,4,19,Miami,Apartment,1515312
